Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Debtor days,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,427,3954.02,20.28,20.38,27.65,59.83,0.53,115.38,53,5.49,641.48,41.9,24.48,20.51,14.13,195,2251.17,15.68,15.64,-24.28,32.03,21.37,14.07,23.67,23.77,26.13,21.29,-41.73,45,28.16,10.62,17.56,1914.89,10.96,404.38,195,13.07,148,-88.49,79.75,-0.13,155.24,24.48,21.79
AAVAS Financiers,541988,AAVAS,Finance - Housing,2039.7,16105.64,45.14,20.56,45.2,39.2,2.85,0,115.67,32.03,365.03,26.13,9.84,9.51,73.21,356.8,1304.36,22.48,33.72,23.28,26.59,44.24,,,12.64,13.12,13.7,-18.98,12.04,,3.57,18.24,1103.17,,830.01,356.8,123.47,232.87,-1151.15,-1078.68,-328.33,-3421.49,9.84,10.04
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,18191.45,38656.83,48.4,32.24,,74.99,0.05,21.38,211.41,38.66,1255.02,14.56,36.36,38.38,22.11,798.7,4919.27,10.17,11.13,15.61,21.6,23.61,19.62,20.84,27.02,27.97,29.46,11.42,28.32,33.75,19.81,14.14,4310.02,11.55,921.71,798.7,12.68,585.69,903.82,703.56,73.13,2217.94,36.36,37.11
ACC,500410,ACC,Cement - North India,2135.4,40100.09,23.09,17.99,,54.53,0.01,11.05,396.31,-29.55,4426.54,3.14,18.07,19.2,17.02,1736.78,16286.24,2.95,8.01,-3.33,7.77,23.15,7.58,4.08,13.02,13.1,14.09,5.48,10.58,5.83,9.7,11.73,13785.98,4.78,2355.11,1862.99,4.75,1449.86,1682.15,1471.34,1356.83,4913.29,18.07,17.3
Acrysil,524091,ACRYSIL,Ceramics - Tiles / Sanitaryware,572.5,1528.28,23.6,23.6,,44.04,0.54,75.71,16.36,25.46,138.93,38.06,22.96,27.94,21.35,64.76,483.9,24.36,21.74,65.58,55.45,54.91,33.17,45.82,19.81,23.22,29.1,5.85,75.95,43.21,13.82,56.24,309.72,21.04,66.89,64.76,22.69,31.02,-21.49,9.5,1.81,-1.8,22.96,20.14
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,259.05,24306.56,,,-1.16,56.09,1.48,33.93,43.59,123.18,2282.83,25.32,1.86,3.11,13.52,-108.72,8136.22,0.08,,83.89,,,,,,-15.62,-3.94,24.6,6.46,7.18,-1.05,55.01,5248.92,,582.61,-108.72,,,632.05,945.28,-20.67,1909.08,1.86,
Advanced Enzyme,540025,ADVENZYMES,Chemicals,298.15,3333.51,27.88,23.06,10.7,52.7,0.03,60.82,24.43,-22.22,131.73,-1.12,20.45,16.33,38.05,119.58,529.38,8.06,9.98,-17.93,2.44,5.49,13.28,13.62,15.58,14.65,11.61,-27.95,15.46,-3.16,10.26,5.49,501.84,13.24,232.49,119.58,11.97,119.17,95.41,143.46,109.26,329.32,20.45,21.98
Aegis Logistics,500003,AEGISCHEM,Trading,228.2,8009.82,22.4,38.39,,58.07,0.38,58.19,94.75,44.81,2103.58,108.03,16.52,18.4,11.54,357.52,4630.98,-6.23,3.34,60.05,17.32,24.56,23.34,33.62,14.29,12.66,17.37,-40.07,1.3,2.33,10.88,20.49,3843.46,2.43,387.64,357.52,0.37,219.97,-130.28,82.86,74.35,-71.85,16.52,17.49
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1002.75,13361.75,62.47,26.37,10.57,59.89,0.13,79.2,68.47,17.02,315.08,122.56,32.75,27.92,19.66,213.88,1081.66,63.08,,58.66,63.63,,,,,34.14,27.83,-4.17,,,16.65,109.31,516.78,,129.67,213.88,,98.17,133.44,52.34,-20.44,226.57,32.75,
AGI Greenpac,500187,AGI,Packaging,219.5,1420.11,7.35,12.21,,60.24,0.84,78.18,127.59,286.4,431.83,3.48,9.21,12.12,18.46,193.29,1430.43,-3.76,-7.14,114.86,151.57,12.99,9.26,5.9,6.34,8.66,14.72,-3.73,40.96,14.31,6.3,-22.79,1852.59,-3.36,284.23,193.29,0.87,84.35,-295.78,226.31,-21.2,-59.44,9.21,7.39
Agro Tech Foods.,500215,ATFL,Solvent Extraction,802.75,1956.3,85.5,37.49,10.61,51.77,0.11,31.6,6.32,182.46,212.68,-0.61,8.86,6.96,5.91,22.88,916.62,3.63,2.63,-26.26,-11.13,-1.69,-6.61,-4.57,7.69,6.77,5.09,-18.01,14.37,10.28,3.95,2.7,892.53,2.72,62.39,25.85,2.67,29.93,-59.78,11.33,6.6,-73.47,8.86,10.67
AIA Engineering,532683,AIAENG,Castings & Forgings,2095.75,19767.19,31.9,18.98,,58.47,0,81.89,194.61,45.74,1093.33,27.11,17.51,17.06,20.21,619.62,3566.55,5.13,9.69,14.76,8.91,6.51,5.48,13.13,14.49,14.26,13.77,6.74,4.65,9.25,12.54,23.77,2881.49,7.27,661.3,619.68,9.67,527.7,-164.54,475.39,313.68,859.16,17.51,18.21
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,731.65,14381.54,27.61,23.78,,69.61,0.12,55.52,35.46,-87.47,1415.74,10.57,19.95,11.08,16.48,520.93,5305.79,10.48,11.31,-54.36,-3.58,5.24,9.11,14.88,20.68,20.25,10.05,-27.27,13.54,5.88,7.53,-1.62,5393.13,14.5,1557.55,545.68,13.73,697.22,128.09,804.14,26.22,647.07,19.95,20.6
Alkyl Amines,506767,ALKYLAMINE,Chemicals,2645.15,13509.43,60.07,23.06,57.91,72.03,0.02,65.47,46.42,-49.87,425.64,11.39,42.57,33.02,21.16,224.89,1542.8,22.16,25.24,-24.08,39.05,34.87,25.67,29.34,32.92,35.41,25.24,-26.47,100.49,74.82,17.87,24.18,1242.44,18.28,430.3,224.89,18.28,171.78,-41.49,207.94,64.91,277.04,42.57,37.99
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,309.65,7607.96,8.64,19.11,,69.92,0.73,57.62,246.85,552.85,5775.92,72.45,16.52,26.37,7.55,880.16,20072.07,42.79,29.16,669.51,56.41,31.76,20.74,12.29,14.54,16.86,32.33,116.77,41.3,11.98,10.74,91.2,10498.1,19.92,643.07,925.73,16.71,316.07,667.58,206.14,57.56,441.5,16.52,15.14
